id,name,industry
0,SuhterCorp,Health
1,QtkhuaCorp,Health
2,OcecnvCorp,Health
3,LldrphCorp,Health
4,JjqirjCorp,Health
5,YypxqvCorp,Retail
6,XhlqsxCorp,Retail
7,NjjwitCorp,Finance
8,ZljzzuCorp,Retail
9,BhpewxCorp,Retail
10,LzhylxCorp,Finance
11,UqonhfCorp,Retail
12,DkqlprCorp,Finance
13,GbazvfCorp,Health
14,QkmxydCorp,Tech
15,SzwdftCorp,Health
16,XhgnmmCorp,Health
17,LxpykyCorp,Finance
18,HrwhcrCorp,Tech
19,JhnloaCorp,Retail
20,NttdecCorp,Health
21,DqmrepCorp,Finance
22,VdtgwaCorp,Finance
23,VjrydaCorp,Health
24,LombiqCorp,Retail
25,TsrygqCorp,Finance
26,SeyabvCorp,Finance
27,NtinmyCorp,Tech
28,IdyetrCorp,Health
29,EktncgCorp,Finance
30,QdsbrpCorp,Health
31,DjrwldCorp,Tech
32,YohihaCorp,Tech
33,RwxthyCorp,Tech
34,WrftegCorp,Retail
35,HphhyaCorp,Health
36,CaqrnhCorp,Retail
37,VfrhplCorp,Retail
38,KvrsvzCorp,Retail
39,LcrmcmCorp,Tech
40,BtqhtdCorp,Retail
41,AtlmyuCorp,Finance
42,PxrsxhCorp,Tech
43,OezclqCorp,Finance
44,AwiexcCorp,Retail
45,MhvhedCorp,Health
46,PjbgxsCorp,Finance
47,BqkaezCorp,Retail
48,QdvuveCorp,Health
49,WgxabcCorp,Tech
50,MiaizwCorp,Finance
51,MdsojuCorp,Tech
52,UywtewCorp,Tech
53,DquazbCorp,Health
54,PffcajCorp,Health
55,VnpgokCorp,Health
56,BkmrgqCorp,Retail
57,DitpslCorp,Health
58,TvhzmdCorp,Retail
59,MqftqgCorp,Tech
60,PcdhigCorp,Finance
61,MinpzqCorp,Finance
62,EaeryhCorp,Tech
63,FttiriCorp,Tech
64,UskgabCorp,Health
65,IvoidjCorp,Health
66,BawlnsCorp,Health
67,BrfzhyCorp,Finance
68,HizvrlCorp,Finance
69,ClbirdCorp,Health
70,VdpihsCorp,Tech
71,MwuzoxCorp,Finance
72,SxdfteCorp,Health
73,GjzkzpCorp,Tech
74,QukngfCorp,Finance
75,KelkczCorp,Finance
76,TwyuzgCorp,Health
77,JfnutiCorp,Health
78,QcqjyfCorp,Tech
79,MerbrbCorp,Health
80,CvbpguCorp,Retail
81,DmapxeCorp,Retail
82,KjmllwCorp,Tech
83,SbavykCorp,Finance
84,PgxkjpCorp,Retail
85,ThyuvuCorp,Tech
86,ByhilyCorp,Finance
87,YfurmoCorp,Tech
88,JxakjdCorp,Tech
89,BgbcngCorp,Tech
90,HbosxiCorp,Health
91,CmivzwCorp,Retail
92,CegfwcCorp,Health
93,BoayjrCorp,Retail
94,EjhtghCorp,Tech
95,XjsvkfCorp,Finance
96,TyxmfbCorp,Finance
97,TxkcncCorp,Health
98,SqzqdiCorp,Retail
99,YsxyhwCorp,Finance
100,EtfjsnCorp,Health
101,XhjdlaCorp,Retail
102,IvcbncCorp,Retail
103,LovknsCorp,Retail
104,VzyqgjCorp,Finance
105,XamkwrCorp,Health
106,QrsolxCorp,Finance
107,JmllzpCorp,Health
108,EapffvCorp,Finance
109,FwkvcdCorp,Health
110,EffjkxCorp,Tech
111,LixymaCorp,Retail
112,CvrnilCorp,Finance
113,IrbfkqCorp,Health
114,XdqcjdCorp,Finance
115,NadqxrCorp,Finance
116,QjcwgaCorp,Tech
117,YtobltCorp,Tech
118,MbsakiCorp,Retail
119,GunhjjCorp,Tech
120,FtufazCorp,Finance
121,MiewzzCorp,Health
122,WmdpyvCorp,Finance
123,IihdnqCorp,Health
124,CoywgdCorp,Finance
125,TjitfuCorp,Health
126,HihatlCorp,Finance
127,LlswelCorp,Health
128,LpgvcoCorp,Tech
129,XsdfdzCorp,Retail
130,XarfdlCorp,Finance
131,NbsdqbCorp,Health
132,YdjcfyCorp,Finance
133,SpumobCorp,Finance
134,QlmfrkCorp,Retail
135,YkdyrdCorp,Retail
136,VeaaaeCorp,Retail
137,GfkwriCorp,Health
138,AcvxsvCorp,Retail
139,SnpmcrCorp,Tech
140,EotlqfCorp,Health
141,DycwdxCorp,Retail
142,LyldicCorp,Tech
143,IjpdjeCorp,Finance
144,IfxjbuCorp,Tech
145,HyslgaCorp,Retail
146,YgmshlCorp,Retail
147,KbepngCorp,Health
148,EvtsejCorp,Retail
149,PbmnfbCorp,Health
150,PocyceCorp,Health
151,NeerlmCorp,Finance
152,JndgyeCorp,Finance
153,UjuziuCorp,Retail
154,TfcknjCorp,Tech
155,WnsfziCorp,Retail
156,CbycgyCorp,Tech
157,AhxlibCorp,Tech
158,NhwwmcCorp,Health
159,ThsmwcCorp,Finance
160,YtpfaaCorp,Retail
161,MtzerbCorp,Tech
