src,dst
0,3946
1,218
2,2651
3,3977
4,1674
5,2771
6,2392
7,2145
8,4851
9,2693
10,1111
11,1374
12,3010
13,3323
14,1087
15,2010
16,1030
17,1694
18,4836
19,396
20,2872
21,4280
22,4672
23,3293
24,2378
25,4160
26,730
27,4590
28,4691
29,1647
30,3995
31,3745
32,3522
33,1324
34,2735
35,768
36,206
37,965
38,4199
39,4475
40,3949
41,3489
42,4146
43,2766
44,2150
45,2751
46,2054
47,1960
48,416
49,577
50,4134
51,4352
52,4924
53,840
54,639
55,1222
56,2957
57,4508
58,343
59,117
60,523
61,964
62,4562
63,1302
64,1309
65,2520
66,3211
67,733
68,3750
69,1418
70,1693
71,182
72,409
73,93
74,2116
75,1136
76,2658
77,1375
78,3677
79,4727
80,4336
81,4978
82,4299
83,4665
84,4882
85,3928
86,2690
87,3510
88,1830
89,847
90,1846
91,2036
92,3090
93,2257
94,694
95,4940
96,4654
97,1164
98,4886
99,4116
100,3496
101,4663
102,3137
103,4655
104,1105
105,538
106,2360
107,2595
108,308
109,1041
110,633
111,3025
112,4007
113,3567
114,2499
115,505
116,3526
117,1624
118,689
119,3503
120,1049
121,854
122,3443
123,3097
124,2647
125,4799
126,776
127,2946
128,4817
129,1563
130,3556
131,3675
132,3991
133,4735
134,1524
135,4131
136,183
137,2147
138,1990
139,86
140,2063
141,4436
142,2944
143,1239
144,2666
145,2419
146,2213
147,3987
148,4700
149,2874
150,4974
151,399
152,697
153,1560
154,3304
155,3024
156,4784
157,2893
158,2878
159,3100
160,171
161,364
162,3407
163,1566
164,4574
165,1487
166,1264
167,728
168,1900
169,2298
170,725
171,3599
172,579
173,3457
174,3596
175,2793
176,3346
177,4819
178,200
179,3774
180,614
181,4694
182,2253
183,1479
184,531
185,4860
186,594
187,1636
188,77
189,4160
190,2371
191,3945
192,2996
193,503
194,4203
195,4703
196,1894
197,4599
198,2138
199,3713
200,3461
201,4631
202,320
203,3379
204,232
205,3953
206,1957
207,4167
208,80
209,807
210,2071
211,567
212,1802
213,4098
214,4662
215,4649
216,4083
217,1336
218,197
219,385
220,4139
221,4417
222,4046
223,1918
224,1929
225,3754
226,1323
227,4908
228,3624
229,3758
230,4267
231,2812
232,652
233,1229
234,259
235,1263
236,3260
237,244
238,2514
239,132
240,1300
241,2849
242,1148
243,2781
244,1486
245,1150
246,3768
247,4842
248,56
249,919
250,3408
251,2123
252,4934
253,2858
254,4762
255,3696
256,2249
257,405
258,4154
259,480
260,2591
261,537
262,272
263,498
264,3717
265,2390
266,26
267,1153
268,4827
269,1328
270,2315
271,1419
272,2942
273,619
274,2257
275,323
276,183
277,3227
278,2983
279,115
280,1572
281,1347
282,688
283,3238
284,4834
285,4146
286,954
287,4385
288,3943
289,931
290,3293
291,2968
292,4266
293,3457
294,2009
295,756
296,1901
297,1716
298,2760
299,3548
300,3124
301,2526
302,4893
303,3610
304,2810
305,171
306,4103
307,4552
308,727
309,2182
310,2153
311,1077
312,1875
313,4382
314,3762
315,4012
316,4312
317,3896
318,3655
319,184
320,4636
321,3219
322,1949
323,3548
324,2907
325,2262
326,1809
327,3649
328,3881
329,2339
330,816
331,1247
332,1400
333,1333
334,4189
335,74
336,4262
337,470
338,2951
339,325
340,1064
341,735
342,2227
343,839
344,4469
345,507
346,540
347,4216
348,1870
349,673
350,2228
351,1823
352,2696
353,2786
354,1063
355,1936
356,451
357,4996
358,1678
359,2411
360,1325
361,2432
362,1448
363,4257
364,2909
365,3345
366,2852
367,2101
368,4707
369,2913
370,1594
371,4490
372,667
373,2890
374,2574
375,301
376,2244
377,1847
378,2824
379,1674
380,4040
381,4161
382,3516
383,2381
384,499
385,1643
386,799
387,3236
388,675
389,3956
390,3237
391,3481
392,2961
393,1447
394,4062
395,2439
396,1315
397,626
398,4302
399,3929
400,4533
401,95
402,4151
403,2563
404,797
405,2268
406,4628
407,1865
408,1410
409,454
410,584
411,1383
412,1116
413,2334
414,3745
415,3137
416,4637
417,2854
418,2413
419,3122
420,841
421,179
422,1051
423,189
424,3252
425,4162
426,1504
427,1492
428,735
429,4270
430,876
431,1184
432,2755
433,3205
434,2350
435,4951
436,243
437,2507
438,3241
439,2686
440,756
441,2148
442,4403
443,1692
444,4781
445,1887
446,4791
447,2116
448,2306
449,248
450,386
451,242
452,2641
453,3591
454,4054
455,1596
456,1045
457,4883
458,2935
459,4357
460,4513
461,3309
462,310
463,3025
464,832
465,1134
466,2486
467,2145
468,1590
469,271
470,4107
471,663
472,4259
473,27
474,4749
475,1526
476,4988
477,2015
478,2364
479,2971
480,4409
481,209
482,1545
483,3743
484,1022
485,3292
486,3756
487,1992
488,1250
489,2662
490,894
491,3537
492,1838
493,2092
494,836
495,2784
496,1978
497,1903
498,2083
499,2505
500,2380
501,935
502,2454
503,4602
504,1691
505,3361
506,3756
507,1304
508,97
509,3196
510,4
511,460
512,2680
513,2417
514,378
515,654
516,1656
517,2211
518,4918
519,3409
520,1597
521,146
522,3924
523,4274
524,3917
525,1373
526,4059
527,3804
528,2055
529,297
530,250
531,2614
532,4503
533,3051
534,1605
535,4965
536,4306
537,2559
538,885
539,4920
540,2083
541,1888
542,639
543,1438
544,4123
545,209
546,2206
547,167
548,2991
549,3645
550,2497
551,1406
552,2809
553,3996
554,2485
555,301
556,1674
557,1676
558,525
559,3375
560,4729
561,2697
562,501
563,905
564,2358
565,865
566,2999
567,1515
568,4479
569,599
570,1146
571,1480
572,1355
573,2238
574,270
575,2719
576,4759
577,1744
578,360
579,154
580,1939
581,2999
582,3146
583,2923
584,21
585,499
586,2754
587,4508
588,819
589,1078
590,1093
591,477
592,3382
593,1149
594,4250
595,438
596,2980
597,3385
598,3159
599,4148
600,4605
601,2123
602,3537
603,4748
604,2392
605,3803
606,836
607,3818
608,4199
609,2786
610,4348
611,3647
612,3346
613,1057
614,3763
615,2834
616,4324
617,2727
618,4902
619,431
620,320
621,898
622,4501
623,1263
624,4828
625,90
626,3969
627,1932
628,1372
629,261
630,647
631,1719
632,4285
633,552
634,2191
635,841
636,905
637,1605
638,3490
639,1046
640,4268
641,3179
642,865
643,3964
644,1529
645,3756
646,4675
647,1355
648,1278
649,2401
650,3549
651,1408
652,2954
653,4153
654,1094
655,2144
656,3564
657,4082
658,4252
659,2440
660,1441
661,474
662,4617
663,2009
664,3948
665,880
666,271
667,1567
668,3714
669,3598
670,2058
671,3509
672,2237
673,482
674,1167
675,318
676,1342
677,42
678,4111
679,785
680,4999
681,711
682,4910
683,972
684,1110
685,4168
686,71
687,476
688,2171
689,2027
690,3520
691,605
692,1721
693,3216
694,2366
695,836
696,3647
697,1087
698,561
699,3554
700,1782
701,2947
702,1330
703,2862
704,1848
705,4199
706,4100
707,1892
708,3700
709,1836
710,4231
711,3233
712,1445
713,4052
714,718
715,536
716,1169
717,1772
718,2526
719,2013
720,2384
721,219
722,1209
723,1939
724,4617
725,4165
726,3402
727,2308
728,4107
729,4404
730,737
731,666
732,2163
733,4229
734,2085
735,4131
736,79
737,3860
738,4777
739,987
740,1442
741,536
742,2825
743,4186
744,444
745,4670
746,3796
747,4015
748,2217
749,2452
750,2196
751,4366
752,43
753,3223
754,4990
755,690
756,3002
757,866
758,4480
759,2148
760,4653
761,621
762,3831
763,4283
764,3767
765,1160
766,3745
767,965
768,3251
769,1945
770,3887
771,1639
772,3861
773,652
774,4677
775,3322
776,2663
777,984
778,3066
779,2938
780,4207
781,1710
782,3274
783,660
784,2881
785,2724
786,1307
787,734
788,2681
789,3065
790,2166
791,3401
792,4931
793,2571
794,3
795,4487
796,2494
797,3743
798,2970
799,1526
800,1760
801,3925
802,2699
803,2620
804,3694
805,1005
806,4372
807,2055
808,1742
809,816
810,3341
811,4614
812,3542
813,4264
814,2751
815,1218
816,2751
817,4888
818,4204
819,81
820,93
821,29
822,2431
823,1054
824,995
825,3231
826,760
827,162
828,2547
829,73
830,4774
831,249
832,4459
833,4832
834,840
835,4622
836,2307
837,2514
838,3110
839,3536
840,3056
841,88
842,983
843,2991
844,650
845,4237
846,3736
847,1656
848,1723
849,4264
850,184
851,713
852,2517
853,1762
854,4772
855,3352
856,1311
857,1674
858,2445
859,2083
860,2561
861,2291
862,213
863,2350
864,3695
865,662
866,155
867,4091
868,1564
869,2968
870,3462
871,2226
872,1740
873,632
874,1746
875,4374
876,195
877,2665
878,4369
879,4702
880,776
881,3120
882,432
883,3459
884,856
885,2363
886,3354
887,1505
888,309
889,4162
890,704
891,986
892,2050
893,279
894,3300
895,4221
896,2218
897,193
898,4634
899,2535
900,3509
901,4118
902,3115
903,2914
904,1832
905,3651
906,3046
907,1360
908,2365
909,636
910,2360
911,3013
912,3022
913,732
914,1429
915,762
916,315
917,2676
918,2718
919,1676
920,2563
921,63
922,4575
923,3018
924,818
925,4551
926,1805
927,3076
928,3610
929,1914
930,1706
931,3707
932,1453
933,1800
934,4173
935,3844
936,1638
937,434
938,4573
939,1947
940,1978
941,1924
942,1780
943,3024
944,2163
945,1033
946,1331
947,4478
948,1772
949,2504
950,2456
951,3064
952,682
953,4131
954,4078
955,778
956,3140
957,2223
958,2486
959,640
960,1348
961,1835
962,922
963,1355
964,4191
965,4761
966,1974
967,2246
968,2080
969,1824
970,2771
971,4825
972,1158
973,3816
974,2476
975,4695
976,1768
977,3168
978,259
